current_degree_field,gpa_percentile,programming_experience,research_experience_months,project_portfolio_count,online_courses_completed,soft_skills_score,degree_field_match_bonus,academic_fit_score,estimated_skill_gap
Biology,0.6053795924368014,0,8.526704830456081,4,6,0.3726169506056037,0.0,31.326765082983105,High
Arts,0.7352073768592278,2,9.142781179464206,6,5,0.6043263267473629,0.0,49.94938762571597,High
Mechanical Engineering,0.769441286727303,0,13.404300880039667,1,5,0.47626356117079743,0.0,35.74503802406135,High
Computer Science,0.823500016154385,0,16.25385491725074,4,2,0.48243503314452274,0.3,41.158334892863955,High
Mechanical Engineering,0.7826261246478342,2,1.443214727926331,2,4,0.5425641615294373,0.0,42.01381646213033,High
Psychology,0.5440563908022078,0,3.816951938800427,6,2,0.6646431838338245,0.0,25.810220650974586,High
Biology,0.7650929581609502,0,9.841130167094269,1,2,0.5881355864761746,0.0,30.968708240838545,High
Education,0.7978618073219976,0,4.16496954523952,3,1,0.6698446812348877,0.0,29.14887455499908,High
Physics,0.7380886948146916,1,5.62397391403239,5,5,0.5400633357257412,0.0,40.08418441193291,High
Computer Science,0.6590422459752016,0,1.7910995440080528,1,1,1.0,0.3,27.34549336438507,High
Economics,0.6371960786824367,0,6.846801261295383,1,6,0.4619980997463826,0.0,29.269143254102445,High
Political Science,0.533087658767312,1,1.7919517039868968,11,2,0.5692995404861907,0.0,34.210325653272236,High
Other,0.5035572802817676,1,8.891440109486847,4,4,0.4570525405011009,0.0,34.09801144464564,High
Computer Science,0.8028640833655489,1,17.955056881675354,3,6,0.5429368815539951,0.3,51.924863709622464,Medium
Electrical Engineering,0.5079603495085131,0,8.206305833512257,2,1,0.6337286047670693,0.0,23.496592907493334,High
Mathematics,0.6827090301937101,3,5.220962360264273,1,4,0.8119479374685294,0.0,49.140566917350576,High
Sociology,0.649976236694086,2,1.8219967720553374,2,4,0.4716552558143283,0.0,38.57976351229171,High
Computer Science,0.5706053291376754,3,1.2959425645813485,4,1,0.5518103962827825,0.3,44.834149312719134,High
Physics,0.6243775423732612,1,26.777372386873033,6,0,0.7168587538648303,0.0,45.36039899532234,High
Electrical Engineering,0.6633828483402372,3,16.1622452764629,4,2,0.7501161635665854,0.0,55.43655532412817,Medium
Law,0.6700688328798204,0,5.0457150519852,6,3,0.7133440569166694,0.0,30.97201301406961,High
Economics,0.5664007972967414,1,0.5878212679580221,4,1,0.7883758376815421,0.0,29.135954079966677,High
Computer Science,0.7776183697632303,1,1.8453290987111877,5,2,0.6409286017356249,0.3,39.21509960612004,High
Chemistry,0.7506069454277388,0,3.2461699119127854,10,2,0.6118585142541513,0.0,33.353322401909715,High
Arts,0.552211641175833,0,4.085999194402697,2,0,0.46773481245763704,0.0,20.197714588185693,High
Architecture,0.6574959852274874,0,0.06716649414933054,3,4,0.7346717143812878,0.0,26.402737261436954,High
Chemistry,0.7172783010157996,3,0.4680927525719402,4,1,0.7628429628055459,0.0,46.038730309780185,High
Architecture,0.8718052702415736,2,8.918909231701697,5,1,0.8180682776738677,0.0,49.543124747555574,High
Biology,0.7623897700619238,0,6.149333608632003,7,2,0.7076373429080306,0.0,33.69126447148325,High
Arts,0.6829061121663491,1,9.546894575318937,3,5,0.6509757129742378,0.0,40.211007145270926,High
Mathematics,0.4029353112283044,0,4.680661804942343,6,2,0.5458263650537724,0.0,22.227928234065434,High
Electrical Engineering,0.7127095862742628,1,4.372029657030975,2,6,0.5902393902103016,0.0,37.668121810219105,High
Business Administration,0.5588257897595524,3,0.1586074612942993,8,2,0.7887701877867144,0.0,46.01362534623132,High
Physics,0.8661954910921286,2,13.134847146872637,5,3,0.48940453123187233,0.0,52.3945227335913,Medium
Mathematics,0.7650672934141476,1,18.083504195982265,6,5,0.7528447115084537,0.0,50.35976268205154,Medium
Mechanical Engineering,0.7118676274651464,0,10.070418262039734,5,3,0.6039125860342566,0.0,33.86026503057478,High
Law,0.5034281033772541,2,20.98057597830955,6,2,0.564366633693762,0.0,48.35372907267697,High
Mathematics,0.8355905055377653,0,1.6416738952824694,8,4,0.3092255308868843,0.0,33.4619364774301,High
Sociology,0.4638320648375934,0,30.338754779907937,4,3,0.6453584268815347,0.0,35.82259375534751,High
Architecture,0.6063819837115704,0,6.457939628578156,6,1,0.5874358861035571,0.0,27.632941291168393,High
Civil Engineering,0.4451674279871118,0,6.402504391091583,6,3,0.6075770986097769,0.0,25.66863643715892,High
Civil Engineering,0.6952165607038101,1,5.04268891481272,5,3,0.6209697866744368,0.0,37.05361018939205,High
Electrical Engineering,0.5086398638404593,1,3.9311882196105543,2,1,0.4490508616719302,0.0,26.5849102082944,High
Mechanical Engineering,0.6887833354320279,0,0.5266150470135708,4,1,0.4409561114061208,0.0,23.75349834721478,High
Biology,0.6397464535496549,0,16.087781055644747,2,3,0.45872789273925446,0.0,32.84216396221561,High
Business Administration,0.5690198110674058,1,3.6842416201024175,3,2,0.6808680151362776,0.0,30.84915303159721,High
Business Administration,0.6791843465170099,1,2.4482236467408183,4,4,0.6555754339813121,0.0,35.45429227871149,High
Physics,0.6008821754589606,0,0.2877672268327187,4,2,0.7474937154343655,0.0,23.939377480416294,High
Chemistry,0.6326942995840864,1,5.32137129164969,3,3,0.8329545876625739,0.0,35.22465415186275,High
Biology,0.4940304068609732,0,4.561316884577151,1,6,0.6146244408948274,0.0,25.024705428859185,High
Computer Science,0.5003207004569258,0,3.0329965258769285,2,3,0.6675629805723425,0.3,25.241455242957937,High
Political Science,0.6414003905534345,2,2.9182369895134705,2,1,0.6795583139646441,0.0,37.09003278543833,High
Chemistry,0.5692210152836824,1,9.157814755544287,4,1,0.539863538231453,0.0,33.32014396213117,High
Psychology,0.7683142610377286,0,8.962362898423894,1,4,0.5232286621310043,0.0,32.17547664811317,High
Computer Science,0.4923604710308892,2,0.6052746097672441,4,5,0.61535766078254,0.3,40.097430044122795,High
Electrical Engineering,0.5472198864835204,0,8.637285068743331,4,5,0.7087909680395863,0.0,30.62275517025052,High
Mechanical Engineering,0.6487349149363408,3,3.6512746589065066,2,3,0.5742871846757337,0.0,45.871855458603754,High
Sociology,0.8276257064172021,2,3.3836074284185167,4,5,0.43580583333621625,0.0,46.317759803206044,High
Biology,0.6548832855925509,3,7.451330348954224,4,2,0.6463218729109964,0.0,49.26077297246515,High
