career_field,current_education_level,budget_constraint,timeline_urgency,age,years_of_experience,interest_alignment_score,skill_transferability_score,geographic_flexibility,learning_commitment_hours_per_week,has_relevant_certifications,has_industry_connections,current_career_satisfaction,family_support_level,health_constraints,language_proficiency,prior_career_switches,education_gap_years,target_career_growth_trend,viability_score
Graphic Designer,Diploma,Very Limited (<₹25K),Flexible (5+ years),45,6,0.5794995397708573,0.565952160383458,0,24,1,1,0.5461348438701786,0,0,1,0,2,0.760608158357522,0.6381830644027241
Doctor (MBBS),Diploma,Very Limited (<₹25K),Flexible (5+ years),44,0,0.6337671089587431,0.5751797689876789,0,8,0,0,0.32903129975117273,1,0,1,2,0,0.5688132184043704,0.4300194830725603
Software Engineer,Diploma,Moderate (₹75K-₹2L),Flexible (5+ years),18,0,0.7253490264795933,0.6686758731846905,1,15,0,0,0.4606108601925441,1,0,1,0,0,0.6849147098831706,0.5128363787581536
Investment Banker,High School,Very Limited (<₹25K),Medium (2-5 years),35,3,0.42146562749331007,0.6451616996035575,1,31,0,1,0.4169932397155773,1,0,0,1,0,0.3668959507202471,0.5948125159894292
Software Engineer,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),26,7,0.7871249878181444,0.49862684317790856,1,15,0,0,0.24153789914518412,0,1,2,0,0,0.5232471544603718,0.47755448680607454
Machine Learning Engineer,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),32,6,0.396788571778117,0.5181612241139096,2,5,1,0,0.42510797894254215,1,0,1,0,5,0.6508407232683078,0.4787852018556648
Data Scientist,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),44,5,0.7909742711513905,0.6635612710608393,1,28,0,1,0.7201379930451142,1,0,2,0,5,0.3626190872856121,0.6115197662680956
Lawyer,High School,Flexible (>₹2L),Medium (2-5 years),34,1,0.9513586752614468,0.725785124848095,2,15,1,0,0.7307895517943864,1,1,1,0,0,0.38597778605485045,0.6631489154925269
Investment Banker,Diploma,Very Limited (<₹25K),Flexible (5+ years),31,1,0.6249922461927447,0.48004036926999405,2,31,0,1,0.6710541742463276,1,0,1,3,2,0.436971524170411,0.6132170387919189
Product Manager,Master's,Very Limited (<₹25K),Medium (2-5 years),26,2,0.7862136414264924,0.46959924143524195,1,36,1,1,0.3884120343849909,2,0,2,0,1,0.9060430851368539,0.8068975003715113
Graphic Designer,Master's,Moderate (₹75K-₹2L),Medium (2-5 years),44,0,0.6371466664190242,0.6722267731864033,1,23,1,1,0.41990678454761404,2,0,1,0,4,0.594682454471307,0.7215854660912834
Software Engineer,Diploma,Limited (₹25K-₹75K),Medium (2-5 years),24,5,0.7783722754277048,0.28711887466503144,1,22,1,0,0.41528445691705707,2,0,2,1,1,0.352200258627798,0.5964214097041661
Machine Learning Engineer,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),36,6,0.8351616389917607,0.47098167911932487,1,15,0,1,0.31452982704968246,1,0,1,0,0,0.6978117240925532,0.6130936745183945
Machine Learning Engineer,High School,Limited (₹25K-₹75K),Medium (2-5 years),44,3,0.776263818998456,0.6940532985352108,2,5,0,0,0.6411429518284556,1,1,1,0,0,0.3112842936564205,0.4866178256713711
Product Manager,Master's,Moderate (₹75K-₹2L),Urgent (1-2 years),45,0,0.6496783947426149,0.46500725398358955,0,26,1,0,0.4546594625149684,2,0,1,0,1,0.4414015521426816,0.5898572048607804
Software Engineer,High School,Limited (₹25K-₹75K),Medium (2-5 years),35,0,0.6147043921495695,0.3965953339017909,1,5,0,0,0.2704100781979592,0,1,1,0,0,0.6571646810875551,0.39551790865966235
Teacher,Diploma,Very Limited (<₹25K),Flexible (5+ years),19,0,0.5355562331979052,0.5189725400508918,1,6,1,1,0.14977051553752313,1,0,1,2,0,0.35547540974787656,0.6177423723577324
Data Scientist,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),35,0,0.6849006011279837,0.8131559361291834,1,17,0,1,0.4774360957636178,2,1,2,3,3,0.8581294920163016,0.6467381804576086
Graphic Designer,Master's,Very Limited (<₹25K),Flexible (5+ years),21,3,0.7275186668907452,0.6067263225074645,1,31,0,0,0.8215262506199317,0,1,2,1,0,0.9187807519202169,0.5326254068192829
Doctor (MBBS),High School,Limited (₹25K-₹75K),Medium (2-5 years),43,4,0.5467543293351045,0.6812406438689076,1,39,0,1,0.36989774395355046,1,0,2,0,1,0.48679207393273155,0.6569650122796494
Machine Learning Engineer,Bachelor's,Very Limited (<₹25K),Immediate (<1 year),37,1,0.4675224300400562,0.48252499147614414,1,19,0,0,0.6183856214456355,1,1,2,1,3,0.9289886079412295,0.4326633840542127
Graphic Designer,Bachelor's,Very Limited (<₹25K),Immediate (<1 year),21,3,0.5779764401517731,0.5323909269944397,2,12,1,0,0.12165037229765319,0,0,0,0,0,0.38577839768381855,0.553660328348829
Software Engineer,PhD,Flexible (>₹2L),Flexible (5+ years),29,9,0.5152071207858877,0.6437731688811708,0,7,0,1,0.465210323877394,0,1,2,0,0,0.5375171337604697,0.47947273998350687
Data Scientist,High School,Moderate (₹75K-₹2L),Medium (2-5 years),20,1,0.5539114854249227,0.6319888940635715,1,24,0,0,0.39639496981085126,1,0,2,1,2,0.8043422293670011,0.5026446608389944
Machine Learning Engineer,Master's,Very Limited (<₹25K),Flexible (5+ years),27,10,0.5489758967923266,0.7164362683623611,1,22,1,0,0.39899954404613724,1,0,1,0,8,0.9095337170012534,0.5719539949272421
Data Scientist,Master's,Limited (₹25K-₹75K),Immediate (<1 year),43,1,0.2653588424011428,0.5983926946524679,1,5,1,1,0.02576776419744442,2,0,1,1,0,0.9316144591062481,0.6318730074235389
Civil Engineer,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),32,6,0.6450973867047296,0.3114203268495276,0,25,0,0,0.2829657834043636,0,0,0,1,5,0.5771927355075959,0.4008605406402034
Software Engineer,Bachelor's,Flexible (>₹2L),Medium (2-5 years),41,0,0.5743636238768507,0.6548424450590902,0,20,1,1,0.4468590257903219,1,1,0,1,6,0.569164380320786,0.6292143592607569
Lawyer,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),25,3,0.7049888801017044,0.6824911774108753,0,35,0,0,0.0,2,1,1,3,2,0.5473754423863885,0.5886568914179584
Doctor (MBBS),Bachelor's,Flexible (>₹2L),Medium (2-5 years),25,5,0.6670748734525325,0.6353960302062875,0,14,0,0,0.48502447424981593,1,0,0,0,5,0.6499718138640622,0.4311384128688286
Machine Learning Engineer,Bachelor's,Very Limited (<₹25K),Flexible (5+ years),29,5,0.33068848063449857,0.2559755825787614,2,36,0,0,0.3740638970820674,1,0,1,0,1,0.8866814522406692,0.48349824460497737
Entrepreneur,Master's,Limited (₹25K-₹75K),Medium (2-5 years),29,4,0.6135191425498452,0.604149954655927,2,38,1,0,0.5560907664608672,1,0,1,0,0,0.7412861919224512,0.6900860929814372
Machine Learning Engineer,Master's,Limited (₹25K-₹75K),Urgent (1-2 years),34,1,0.7277288046418031,0.42073330110361773,0,24,0,0,0.5995630246593486,1,0,1,1,2,0.8050533609477608,0.47059693957499055
Doctor (MBBS),Master's,Limited (₹25K-₹75K),Urgent (1-2 years),28,3,0.4419332914761184,0.719416400465842,2,28,0,1,0.78287824762015,2,1,1,0,4,0.5197545352984901,0.6114762660823505
Software Engineer,Master's,Limited (₹25K-₹75K),Urgent (1-2 years),20,4,0.5323938067815555,0.3816438630895378,2,29,1,1,0.502487823444727,1,0,1,0,3,0.744924408511408,0.6895971700730759
Software Engineer,Bachelor's,Moderate (₹75K-₹2L),Flexible (5+ years),18,0,0.6735573081120211,0.47500514144188294,1,22,0,0,0.2828806413082119,2,0,2,0,0,0.5810553631322876,0.5283709689298904
Civil Engineer,PhD,Limited (₹25K-₹75K),Immediate (<1 year),41,0,0.5526317645920243,0.7185643852362343,0,40,0,0,0.06904773692577659,2,0,1,1,0,0.834167110128734,0.6065669793639878
Software Engineer,Diploma,Very Limited (<₹25K),Immediate (<1 year),31,1,0.565258192522443,0.6005938396401179,0,14,0,0,0.5360232142784794,0,0,2,1,0,0.5991219605925698,0.4087956517662108
Graphic Designer,Bachelor's,Limited (₹25K-₹75K),Immediate (<1 year),38,8,0.5953810531752023,0.6318069069140081,0,39,0,0,0.4905273898592583,1,0,1,0,2,0.6356113411656388,0.5290181109041274
Civil Engineer,Bachelor's,Moderate (₹75K-₹2L),Medium (2-5 years),21,2,0.31008816239538906,0.5233982781049653,2,10,0,0,0.9095468142863568,1,0,2,0,0,0.7969202796958701,0.3973960474652983
Teacher,Bachelor's,Very Limited (<₹25K),Urgent (1-2 years),43,1,0.17624645694912694,0.8880195511187435,0,39,0,0,0.8108326521213605,2,0,1,0,1,0.8301776511583727,0.5090028073428209
Entrepreneur,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),33,0,0.49534355089610965,0.1966330374309655,0,5,0,0,0.5490110031201068,2,0,2,2,4,0.7460058058575734,0.3304967392640734
Civil Engineer,Bachelor's,Flexible (>₹2L),Medium (2-5 years),45,2,0.43941110457053745,0.41332664060972196,1,39,0,0,0.22317572705148558,0,0,0,2,0,0.3621974786068599,0.47808230458333445
Software Engineer,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),21,4,0.8127701296329746,0.6108809909048644,0,9,0,0,0.6849362456461643,1,0,1,0,0,0.5098142953284337,0.45418007704643804
Data Scientist,Bachelor's,Flexible (>₹2L),Urgent (1-2 years),41,0,0.5750865099409369,0.6433527717078437,1,17,0,0,0.45315472013836305,2,1,2,0,0,0.8731228038738195,0.5212686219311367
Data Scientist,Diploma,Limited (₹25K-₹75K),Urgent (1-2 years),38,10,0.5548353236440163,0.810287938212821,1,27,0,0,0.645214679896471,0,0,2,0,0,0.5881331854964017,0.5059061807407229
Doctor (MBBS),High School,Very Limited (<₹25K),Urgent (1-2 years),24,2,0.8545450990166257,0.709589910184005,1,9,0,0,0.5904859587555531,1,0,2,2,0,0.8590989307331229,0.5245281549298044
Entrepreneur,Bachelor's,Limited (₹25K-₹75K),Flexible (5+ years),19,0,0.6678047784950312,0.5661881540543405,1,5,0,0,0.8692476176221646,1,1,1,0,1,0.4785749187254612,0.41103887719565557
Graphic Designer,Bachelor's,Moderate (₹75K-₹2L),Medium (2-5 years),25,1,0.8240494564248326,0.5129380678307589,0,18,1,0,0.5625882157923573,2,0,2,3,5,0.8762099567521728,0.5915983551742378
Software Engineer,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),23,8,0.4411353049045992,0.6615065566857257,0,12,0,0,0.32836610677801487,1,0,1,0,0,0.7646607741704687,0.4292677778534014
Product Manager,Bachelor's,Very Limited (<₹25K),Medium (2-5 years),44,0,0.5141220295226336,0.3605843704091951,0,12,0,0,0.3552452965148749,2,0,2,0,1,0.31452931416896457,0.3932095956819438
Product Manager,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),31,6,0.4440142217088267,0.42916088457014856,2,33,0,0,0.31457312758539746,1,0,1,0,0,0.5262238469507847,0.512509512995557
Entrepreneur,Master's,Flexible (>₹2L),Medium (2-5 years),30,5,0.5860383391764378,0.6240600544816389,1,22,0,1,0.44915928153009516,2,0,2,1,3,0.6729943694915724,0.6095084304056074
Doctor (MBBS),Diploma,Moderate (₹75K-₹2L),Medium (2-5 years),25,0,0.8045560327121708,0.8657263276932882,1,29,1,1,0.8330503409622205,1,0,1,0,0,0.6529807919117177,0.7905166782439023
Product Manager,Master's,Limited (₹25K-₹75K),Medium (2-5 years),45,2,0.749331680797892,0.6435019242274689,1,24,0,1,0.31208863151423893,1,0,1,0,0,0.5937081245774728,0.6504725994468604
Graphic Designer,High School,Very Limited (<₹25K),Flexible (5+ years),42,0,0.3250838770675507,0.4379225783867282,1,5,0,0,0.5575880752755633,2,1,2,0,0,0.7808034074925219,0.3856159287823673
Machine Learning Engineer,Bachelor's,Limited (₹25K-₹75K),Medium (2-5 years),41,2,0.6432737655306154,0.8119635860531922,2,25,1,1,0.37130165583020913,2,0,2,0,0,0.4895926483079865,0.8001138406379908
