career_field,current_education_level,budget_constraint,timeline_urgency,years_of_experience,gpa_percentile,research_experience_months,project_portfolio_count,viability_score
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,2.0,0.1418481581956125,11.0,1.0,0.1232723686587383
Sofware Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1692681476866447,11.0,0.0,0.1866527037650916
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.1776339944800051,7.0,1.0,0.1123422152178822
ML Engineer,Bachelor in Psychology,EXPENSIVE,Soon,2.0,0.3765622705069351,7.0,1.0,0.089196572483829
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,2.0,0.3370526621593617,10.0,0.0,0.2352601757026698
Data Scientist,Bachelor in Psychology,Limited,Urgent,2.0,0.2773893363123181,5.0,0.0,0.1622486851695402
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.1417994363217627,6.0,0.0,0.1579682182603346
ML Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.3649840776756605,9.0,0.0,0.2292182599846986
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,0.0,0.2943070361624087,8.0,1.0,0.1205137712668338
Data Scientist,Bootcamp Graduate,Limited,Soon,2.0,0.2252233009446337,4.0,0.0,0.0739730734667365
ML Engineer,Bootcamp Graduate,Limited,Urgent,0.0,0.1444260789860199,7.0,0.0,0.103356202855057
Software Engineer,Bachelor in Humanities,Limited,Urgent,1.0,0.3087438420372645,2.0,1.0,0.1151917810403769
Sofware Engineer,Bachelor in Psychology,Limited,Urgent,2.0,0.2023199053150775,8.0,1.0,0.2349387236557125
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,0.3647909029568019,6.0,0.0,0.1057742705184363
ML Engineer,Bachelor in Psychology,Very Limited,Soon,1.0,0.3820400327373335,8.0,0.0,0.1067841949474931
Data Scientist,Bootcamp Graduate,Limited,Urgent,1.0,0.2935310086091695,0.0,0.0,0.096037053648311
Data Scientist,Bootcamp Graduate,Limited,Urgent,0.0,0.3983651532392024,4.0,1.0,0.1240317400510888
Data Scientist,Bachelor in Humanities,Very Limited,Soon,2.0,0.180542457067047,2.0,1.0,0.1245373734188098
ML Engineer,Bootcamp Graduate,Limited,Soon,2.0,0.2710183510268095,7.0,1.0,0.1730014453398339
ML Engineer,Bootcamp Graduate,Limited,Urgent,2.0,0.1885871765256816,9.0,0.0,0.2197339589849349
Data Scientist,Bachelor in Psychology,Very Limited,Urgent,1.0,0.262793390412273,5.0,1.0,0.222080923662335
Software Engineer,Bachelor in Psychology,Limited,Soon,1.0,0.1123202550303627,7.0,0.0,0.1367041475161484
Data Cientist,Bootcamp Graduate,Limited,Urgent,1.0,0.3887945244033776,6.0,0.0,0.1891948412187395
Software Engineer,Bachelor in Humanities,Very Limited,Soon,0.0,0.3213690750087306,4.0,1.0,0.1960078633123637
Data Scientist,Bachelor in Psychology,Limited,Urgent,0.0,0.1360493943416926,11.0,0.0,0.068831397653712
