current_degree_field,gpa_percentile,research_experience_months,project_portfolio_count,academic_fit_score
Economics,0.1363309188591283,8.0,0.0,21.153685497388757
Economics,0.1874699582457981,3.0,0.0,29.82100839124348
Economics,0.3602581355988861,11.0,0.0,22.693286680620197
Other,0.1008078303549549,0.0,1.0,14.56414477878986
Economics,0.3879177519345579,11.0,1.0,16.796821257039433
Humanities,0.2656162832659181,2.0,1.0,24.2097294892304
Psychology,0.229907355805031,7.0,0.0,150.0
Other,0.2615507555529972,0.0,1.0,13.908996293808304
Other,0.1006743475101032,8.0,0.0,24.98837224221534
Psychology,0.1263652886849286,7.0,0.0,28.64995359601591
Economics,0.3112282970195724,4.0,0.0,28.13219401215493
,0.2988187807780206,3.0,0.0,29.816539681356897
Humanities,0.2356725246977188,6.0,1.0,27.060779346209596
Other,0.1533006019978483,8.0,0.0,28.80095897505211
Psychology,0.3901211116176764,6.0,0.0,22.816149408739136
Economics,0.3733719589775851,5.0,,15.216891083432442
Other,0.2023345326889779,3.0,1.0,22.846687992759485
Psychology,0.38782502488119,10.0,0.0,25.27818868526789
Humanities,0.2139592178759027,9.0,0.0,26.091139352951146
,0.2983101017406214,,0.0,24.186842330918008
Other,0.1283654348995157,5.0,1.0,30.834752155969465
Psychology,0.1353413078526785,4.0,0.0,29.672885709361932
Other,0.1915821030288982,8.0,0.0,28.908997261027288
Economics,0.2378884963343153,4.0,0.0,11.222030046151
Humanities,0.3646228673409512,6.0,0.0,6.778919497228067
Economics,0.221954931019874,2.0,1.0,24.23515266775955
Psychology,0.1671281854153498,1.0,0.0,14.68748423549036
Humanities,0.1784732583601366,8.0,1.0,15.658767509518452
Humanities,0.3387743917547984,7.0,0.0,5.614543639404022
Economics,0.1693606838721865,1.0,1.0,31.47346517069633
Economics,0.171257142947602,5.0,0.0,21.69299477877628
Psychology,0.2422370971923266,2.0,1.0,22.935709023409956
Humanities,0.1399801835803405,10.0,1.0,12.847694815854858
Psychology,0.3732767714618624,7.0,1.0,11.038307755809546
Other,0.2402215398525155,8.0,1.0,10.99051957404942
Economics,0.3585610245609094,3.0,0.0,17.61679101561778
Psychology,0.3462922899501631,6.0,1.0,17.205931235343257
Psychology,,8.0,1.0,7.313563626031635
Other,0.2084071486195194,8.0,1.0,18.304119361474577
Psychology,0.1790899666241016,0.0,0.0,25.5369467297264
Psychology,0.2842511339901837,,0.0,26.942557838820683
Other,0.1671450869879001,,0.0,15.286285000452471
Economics,0.1016431185541468,3.0,0.0,20.384995166843623
Other,0.345625966765039,5.0,0.0,30.705387532458875
Other,0.3302682558902776,1.0,1.0,29.97547807743701
Psychology,0.2712482422086391,11.0,1.0,16.125691857619394
Humanities,0.3144190179779049,11.0,1.0,8.255111648190105
Psychology,0.3718254047664933,6.0,0.0,21.519310693571207
Humanities,0.1311875602642652,2.0,0.0,13.337829517031606
Psychology,0.1780296098162017,8.0,1.0,17.966656938471754
Other,0.334698334735309,5.0,0.0,5.152980794380318
Humanities,0.3671542876427,6.0,1.0,28.314086875149005
Psychology,0.3276543064514845,7.0,1.0,18.706104876555536
Humanities,0.3560876205975694,6.0,1.0,15.432958168359916
Other,0.3991763341625453,,1.0,19.34249541179684
YouTuber,0.2030911302767719,3.0,1.0,30.389295280431313
Psychology,0.3976270243868262,7.0,0.0,28.84598252389795
YouTuber,0.2280088323266152,2.0,1.0,17.92202231685534
Economics,0.1241872492784038,2.0,1.0,27.224083308504625
Humanities,0.2860603323548194,3.0,1.0,28.99567073829108
Humanities,0.1931485771052274,3.0,0.0,24.29184453636981
Other,0.2531810651656532,11.0,0.0,22.05616221223505
Economics,0.1029117324391555,10.0,0.0,16.981913408289284
Economics,0.2472430448212329,11.0,1.0,25.6963375444925
Other,0.3278550587067378,6.0,0.0,18.251558405424177
Economics,,2.0,,11.515044743207897
Humanities,0.1437205882803246,1.0,,10.723390087199537
Psychology,0.2940189959406915,,0.0,22.23813492738281
Humanities,0.1703389856171922,1.0,0.0,29.45917129692883
Humanities,0.3544796112041505,0.0,0.0,29.7669613357266
