career_field,current_education_level,budget_constraint,timeline_urgency,years_of_experience,gpa_percentile,research_experience_months,project_portfolio_count,viability_score
Data Scientist,Bachelor in Humanities,Very Limited,Urgent,0.0,,9.0,0.0,0.0699949831636005
Data Scientist,Bachelor in Humanities,Limited,Soon,,0.1061753482887407,1.0,1.0,0.2164885281600843
ML Engineer,Bachelor in Psychology,Limited,Soon,,0.285244452888315,,1.0,0.0514132610439434
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,2.0,0.1418481581956125,11.0,1.0,0.1232723686587383
ML Engineer,Bachelor in Psychology,Very Limited,Soon,,0.2147385973801488,3.0,1.0,0.143352578649596
Software Engineer,Bootcamp Graduate,Very Limited,Urgent,0.0,,3.0,0.0,0.2431264066149118
Sofware Engineer,Bachelor in Psychology,Very Limited,Soon,0.0,0.1692681476866447,11.0,0.0,0.1866527037650916
Software Engineer,Bootcamp Graduate,Very Limited,Soon,0.0,0.1776339944800051,7.0,1.0,0.1123422152178822
ML Engineer,Bachelor in Psychology,Limited,,1.0,0.1093939877366675,1.0,1.0,0.1399508266739531
ML Engineer,Bachelor in Psychology,EXPENSIVE,Soon,2.0,0.3765622705069351,7.0,1.0,0.089196572483829
Software Engineer,Bachelor in Psychology,Limited,Urgent,0.0,,4.0,1.0,0.1213506653387178
Software Engineer,Bachelor in Humanities,Very Limited,Urgent,0.0,,6.0,0.0,0.2044489538593314
Data Scientist,Bootcamp Graduate,Very Limited,Urgent,2.0,0.3370526621593617,10.0,0.0,0.2352601757026698
,Bachelor in Humanities,Limited,Urgent,0.0,0.2869894380482674,1.0,0.0,0.0627116700572047
Data Scientist,Bachelor in Psychology,Limited,Urgent,2.0,0.2773893363123181,5.0,0.0,0.1622486851695402
Data Scientist,Bachelor in Humanities,,Soon,2.0,0.3282355145850693,9.0,0.0,0.2041934359909122
Data Scientist,Bootcamp Graduate,Very Limited,,2.0,0.1332672462435494,11.0,0.0,0.0903438404670792
Data Scientist,Bachelor in Humanities,Limited,Urgent,1.0,0.1417994363217627,6.0,0.0,0.1579682182603346
Software Engineer,Bachelor in Humanities,Limited,Urgent,2.0,0.3084354799119114,,1.0,0.1748708096267586
ML Engineer,Bachelor in Humanities,Very Limited,Soon,1.0,0.3649840776756605,9.0,0.0,0.2292182599846986
